t,x,y,h,correction_norm,distance_obs1,physical_margin_obs1,filter_margin_obs1,distance_obs2,physical_margin_obs2,filter_margin_obs2
5.249999999999989342e+00,2.393128719808560678e+00,1.791995206889372527e+00,9.290965726506314581e+00,2.317026604177015517e-03,3.271871494902455879e+00,2.821871494902455701e+00,2.671871494902455790e+00,5.230371340706564176e+00,4.630371340706564531e+00,4.480371340706564176e+00
5.299999999999989164e+00,2.382140476870329593e+00,1.806668451665297770e+00,9.199125248242204123e+00,2.319936844916777475e-03,3.257725521555066450e+00,2.807725521555066273e+00,2.657725521555066361e+00,5.219764434610004500e+00,4.619764434610004855e+00,4.469764434610004500e+00
5.349999999999988987e+00,2.371028767729130404e+00,1.821283821220109678e+00,9.107481274152689821e+00,2.322601683355008956e-03,3.243514717916366141e+00,2.793514717916366408e+00,2.643514717916366052e+00,5.209075292109211830e+00,4.609075292109212185e+00,4.459075292109211830e+00
5.399999999999988809e+00,2.359796109566829170e+00,1.835840954261622304e+00,9.016046269829619320e+00,2.325029136305211633e-03,3.229241250123116913e+00,2.779241250123116735e+00,2.629241250123116824e+00,5.198306213427863476e+00,4.598306213427863831e+00,4.448306213427863476e+00
5.449999999999988631e+00,2.348444999689279555e+00,1.850339370385245541e+00,8.924831993058342405e+00,2.327228275327516190e-03,3.214907301641213966e+00,2.764907301641214232e+00,2.614907301641213877e+00,5.187459474674770199e+00,4.587459474674770554e+00,4.437459474674770199e+00
5.499999999999988454e+00,2.336977901004813063e+00,1.864778484363263100e+00,8.833849512442364826e+00,2.329209014180320166e-03,3.200515053548356192e+00,2.750515053548356015e+00,2.600515053548356104e+00,5.176537311998444579e+00,4.576537311998444935e+00,4.426537311998444579e+00
5.549999999999988276e+00,2.325397229692419021e+00,1.879157619464411733e+00,8.743109229762717760e+00,2.330981915728895255e-03,3.186066667386123985e+00,2.736066667386124251e+00,2.586066667386123896e+00,5.165541908145219629e+00,4.565541908145219985e+00,4.415541908145219629e+00
5.599999999999988098e+00,2.313705344882686976e+00,1.893476019827448287e+00,8.652620905357910175e+00,2.332558017542413469e-03,3.171564270396393326e+00,2.721564270396393148e+00,2.571564270396393237e+00,5.154475381226665931e+00,4.554475381226666286e+00,4.404475381226665931e+00
5.649999999999987921e+00,2.301904540180174319e+00,1.907732861916113354e+00,8.562393685879614580e+00,2.333948675342548563e-03,3.157009942960658844e+00,2.707009942960659110e+00,2.557009942960658755e+00,5.143339775508134259e+00,4.543339775508134615e+00,4.393339775508134259e+00
5.699999999999987743e+00,2.289997036862193358e+00,1.921927265086003533e+00,8.472436133844954753e+00,2.335165423423860367e-03,3.142405708065590719e+00,2.692405708065590986e+00,2.542405708065590630e+00,5.132137054037079871e+00,4.532137054037080226e+00,4.382137054037079871e+00
5.749999999999987566e+00,2.277984978595980703e+00,1.936058301296369244e+00,8.382756258468452515e+00,2.336219851125448388e-03,3.127753522623768490e+00,2.677753522623768312e+00,2.527753522623768401e+00,5.120869092937443412e+00,4.520869092937443767e+00,4.370869092937443412e+00
5.799999999999987388e+00,2.265870427523605901e+00,1.950125004001855622e+00,8.293361547314921367e+00,2.337123494415277360e-03,3.113055270484845316e+00,2.663055270484845138e+00,2.513055270484845227e+00,5.109537677204331274e+00,4.509537677204331629e+00,4.359537677204331274e+00
5.849999999999987210e+00,2.253655361571750948e+00,1.964126376260701301e+00,8.204258998369237332e+00,2.337887741634727453e-03,3.098312756979324512e+00,2.648312756979324334e+00,2.498312756979324423e+00,5.098144497841802902e+00,4.498144497841803258e+00,4.348144497841802902e+00
5.899999999999987033e+00,2.241341672851452138e+00,1.978061398096993662e+00,8.115455152169911202e+00,2.338523752441190855e-03,3.083527704844444273e+00,2.633527704844444095e+00,2.483527704844444184e+00,5.086691150195173705e+00,4.486691150195174060e+00,4.336691150195173705e+00
5.949999999999986855e+00,2.228931167021015458e+00,1.991929033155252826e+00,8.026956123700369261e+00,2.339042389001992021e-03,3.068701751389361299e+00,2.618701751389361121e+00,2.468701751389361210e+00,5.075179133338169279e+00,4.475179133338169635e+00,4.325179133338169279e+00
5.999999999999986677e+00,2.216425563493438222e+00,2.005728234685967948e+00,7.938767633775689170e+00,2.339454158495985793e-03,3.053836446764645274e+00,2.603836446764645096e+00,2.453836446764645185e+00,5.063609850384162669e+00,4.463609850384163025e+00,4.313609850384162669e+00
6.049999999999986500e+00,2.203826496377791599e+00,2.019457950900723109e+00,7.850895039702408873e+00,2.339769166001849643e-03,3.038933253209140428e+00,2.588933253209140695e+00,2.438933253209140339e+00,5.051984609599582399e+00,4.451984609599582754e+00,4.301984609599582399e+00
6.099999999999986322e+00,2.191135516052006960e+00,2.033117129735315221e+00,7.763343365025792586e+00,2.339997076878398523e-03,3.023993545155252427e+00,2.573993545155252249e+00,2.423993545155252338e+00,5.040304626206427052e+00,4.440304626206427407e+00,4.290304626206427052e+00
6.149999999999986144e+00,2.178354091272351578e+00,2.046704723058789810e+00,7.676117328212476387e+00,2.340147087768998553e-03,3.009018610081714229e+00,2.559018610081714051e+00,2.409018610081714140e+00,5.028571024769383335e+00,4.428571024769383691e+00,4.278571024769383335e+00
6.199999999999985967e+00,2.165483611732515801e+00,2.060219690365624245e+00,7.589221370146415957e+00,2.340227905397271758e-03,2.994009650010799106e+00,2.544009650010798929e+00,2.394009650010799017e+00,5.016784842071500883e+00,4.416784842071501238e+00,4.266784842071500883e+00
6.249999999999985789e+00,2.152525390992625631e+00,2.073661001987443075e+00,7.502659680343724879e+00,2.340247732353292320e-03,2.978967783554697046e+00,2.528967783554697313e+00,2.378967783554696958e+00,5.004947030390492380e+00,4.404947030390492735e+00,4.254947030390492380e+00
6.299999999999985612e+00,2.139480669705608573e+00,2.087027641859624527e+00,7.416436221816184116e+00,2.340214259118056188e-03,2.963894048423321603e+00,2.513894048423321870e+00,2.363894048423321514e+00,4.993058461095623457e+00,4.393058461095623812e+00,4.243058461095623457e+00
6.349999999999985434e+00,2.126350619075149329e+00,2.100318609877046772e+00,7.330554754535343776e+00,2.340134661599662432e-03,2.948789404313147511e+00,2.498789404313147777e+00,2.348789404313147422e+00,4.981119928492653948e+00,4.381119928492654303e+00,4.231119928492653948e+00
6.399999999999985256e+00,2.113136344485969431e+00,2.113532923871959124e+00,7.245018857468132012e+00,2.340015603515749072e-03,2.933654736103743055e+00,2.483654736103742877e+00,2.333654736103742966e+00,4.969132153851503197e+00,4.369132153851503553e+00,4.219132153851503197e+00
6.449999999999985079e+00,2.099838889253327512e+00,2.126669621245688369e+00,7.159831949172222210e+00,2.339863242978518134e-03,2.918490857295435337e+00,2.468490857295435603e+00,2.318490857295435248e+00,4.957095789558114696e+00,4.357095789558115051e+00,4.207095789558114696e+00
6.499999999999984901e+00,2.086459238444439368e+00,2.139727760284479974e+00,7.074997306954029952e+00,2.339683242698432052e-03,2.903298513628015165e+00,2.453298513628014987e+00,2.303298513628015076e+00,4.945011423338482537e+00,4.345011423338482892e+00,4.195011423338482537e+00
6.549999999999984723e+00,2.072998322730000176e+00,2.152706421188375518e+00,6.990518084605056082e+00,2.339480783256896526e-03,2.888078386826536281e+00,2.438078386826536104e+00,2.288078386826536192e+00,4.932879582508809868e+00,4.332879582508810223e+00,4.182879582508809868e+00
6.599999999999984546e+00,2.059457022229101320e+00,2.165604706840571048e+00,6.906397328743361541e+00,2.339260578938959396e-03,2.872831098426094520e+00,2.422831098426094343e+00,2.272831098426094432e+00,4.920700738211530201e+00,4.320700738211530556e+00,4.170700738211530201e+00
6.649999999999984368e+00,2.045836170315596281e+00,2.178421743343235573e+00,6.822637993795997780e+00,2.339026895668231115e-03,2.857557213632916593e+00,2.407557213632916415e+00,2.257557213632916504e+00,4.908475309602150283e+00,4.308475309602150638e+00,4.158475309602150283e+00
6.699999999999984190e+00,2.032136557358414919e+00,2.191156680344300334e+00,6.739242955666023605e+00,2.338783570612941540e-03,2.842257245184280912e+00,2.392257245184280734e+00,2.242257245184280823e+00,4.896203667956850580e+00,4.296203667956850936e+00,4.146203667956850580e+00
6.749999999999984013e+00,2.018358934372396440e+00,2.203808691178254620e+00,6.656215024133992131e+00,2.338534033080253999e-03,2.826931657174536205e+00,2.376931657174536028e+00,2.226931657174536117e+00,4.883886140675282483e+00,4.283886140675282839e+00,4.133886140675282483e+00
6.799999999999983835e+00,2.004504016559987445e+00,2.216376972842553528e+00,6.573556954048616063e+00,2.338281326352140838e-03,2.811580868819003598e+00,2.361580868819003420e+00,2.211580868819003509e+00,4.871523015157238845e+00,4.271523015157239200e+00,4.121523015157238845e+00
6.849999999999983658e+00,1.990572486727586243e+00,2.228860745829797541e+00,6.491271455365294152e+00,2.338028130148155949e-03,2.796205258131636562e+00,2.346205258131636384e+00,2.196205258131636473e+00,4.859114542535643899e+00,4.259114542535644254e+00,4.109114542535643899e+00
6.899999999999983480e+00,1.976564998563461684e+00,2.241259253834453347e+00,6.409361202093713850e+00,2.337776783440063868e-03,2.780805165496162523e+00,2.330805165496162346e+00,2.180805165496162434e+00,4.846660941251865751e+00,4.246660941251866106e+00,4.096660941251865751e+00
6.949999999999983302e+00,1.962482179767015777e+00,2.253571763351532198e+00,6.327828840217778250e+00,2.337529307365260062e-03,2.765380897113898229e+00,2.315380897113898051e+00,2.165380897113898140e+00,4.834162400462463260e+00,4.234162400462463616e+00,4.084162400462463260e+00
6.999999999999983125e+00,1.948324635021727369e+00,2.265797563183308938e+00,6.246676994651906512e+00,2.337287428034648482e-03,2.749932728314649744e+00,2.299932728314649566e+00,2.149932728314649655e+00,4.821619083269355066e+00,4.221619083269355421e+00,4.071619083269355066e+00
7.049999999999982947e+00,1.934092948806420909e+00,2.277935963868901403e+00,6.165908275298204622e+00,2.337052599033258814e-03,2.734460906720004303e+00,2.284460906720004125e+00,2.134460906720004214e+00,4.809031129767980417e+00,4.209031129767980772e+00,4.059031129767980417e+00
7.099999999999982769e+00,1.919787688041552531e+00,2.289986297050294439e+00,6.085525282268502423e+00,2.336826023467171096e-03,2.718965655250939584e+00,2.268965655250939406e+00,2.118965655250939495e+00,4.796398659910235729e+00,4.196398659910236084e+00,4.046398659910235729e+00
