time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.8501,-0.0252,1.6680,-0.2533,-0.1567,0.2978,-0.0106,0.0029,-1.7977,1.8315,0.4025,-0.0846,0.4113,-0.0047,0.0173,1.7800
0.8504,-0.0252,1.6680,-0.2533,-0.1567,0.2978,-0.0106,0.0029,-1.7943,1.8309,0.4025,-0.0846,0.4113,-0.0002,0.0173,1.7766
0.8602,-0.0292,1.6651,-0.2520,-0.1579,0.2973,-0.0123,0.0054,-1.7908,1.8303,0.4027,-0.0840,0.4114,0.0037,0.0139,1.7694
0.8607,-0.0306,1.6641,-0.2521,-0.1589,0.2980,-0.0127,0.0090,-1.7881,1.8299,0.4036,-0.0840,0.4122,0.0058,0.0125,1.7653
0.8801,-0.0326,1.6627,-0.2501,-0.1583,0.2960,-0.0136,0.0122,-1.7846,1.8294,0.4022,-0.0831,0.4107,0.0095,0.0065,1.7599
0.8804,-0.0345,1.6614,-0.2501,-0.1583,0.2960,-0.0143,0.0122,-1.7811,1.8289,0.4022,-0.0831,0.4107,0.0112,0.0065,1.7547
0.9004,-0.0364,1.6599,-0.2488,-0.1590,0.2953,-0.0151,0.0199,-1.7778,1.8283,0.4032,-0.0822,0.4115,0.0148,-0.0046,1.7496
0.9008,-0.0382,1.6585,-0.2481,-0.1590,0.2947,-0.0161,0.0188,-1.7742,1.8277,0.4033,-0.0823,0.4116,0.0177,-0.0042,1.7442
0.9102,-0.0400,1.6570,-0.2472,-0.1589,0.2939,-0.0176,0.0184,-1.7708,1.8270,0.4036,-0.0823,0.4120,0.0219,-0.0068,1.7391
0.9106,-0.0416,1.6558,-0.2472,-0.1589,0.2939,-0.0186,0.0184,-1.7675,1.8266,0.4032,-0.0819,0.4114,0.0244,-0.0072,1.7343
0.9307,-0.0435,1.6544,-0.2444,-0.1580,0.2910,-0.0193,0.0074,-1.7638,1.8260,0.4028,-0.0811,0.4109,0.0273,-0.0097,1.7289
0.9311,-0.0454,1.6530,-0.2440,-0.1582,0.2908,-0.0200,0.0043,-1.7602,1.8253,0.4035,-0.0807,0.4115,0.0309,-0.0087,1.7235
0.9505,-0.0472,1.6517,-0.2432,-0.1583,0.2901,-0.0207,0.0012,-1.7568,1.8246,0.4036,-0.0807,0.4116,0.0336,-0.0093,1.7183
0.9511,-0.0486,1.6506,-0.2432,-0.1583,0.2901,-0.0210,0.0012,-1.7537,1.8242,0.4036,-0.0807,0.4116,0.0373,-0.0093,1.7139
0.9601,-0.0502,1.6494,-0.2411,-0.1584,0.2885,-0.0214,-0.0008,-1.7504,1.8236,0.4036,-0.0802,0.4115,0.0398,-0.0053,1.7091
0.9604,-0.0519,1.6479,-0.2411,-0.1584,0.2885,-0.0218,-0.0008,-1.7469,1.8230,0.4037,-0.0795,0.4115,0.0436,-0.0063,1.7040
0.9802,-0.0533,1.6466,-0.2384,-0.1584,0.2862,-0.0223,0.0017,-1.7437,1.8225,0.4040,-0.0792,0.4117,0.0457,-0.0077,1.6995
0.9804,-0.0552,1.6450,-0.2384,-0.1584,0.2862,-0.0229,0.0017,-1.7400,1.8218,0.4044,-0.0788,0.4120,0.0492,-0.0080,1.6940
0.9902,-0.0569,1.6435,-0.2362,-0.1595,0.2850,-0.0232,0.0053,-1.7365,1.8212,0.4051,-0.0788,0.4127,0.0522,-0.0090,1.6890
0.9905,-0.0589,1.6419,-0.2362,-0.1595,0.2850,-0.0234,0.0053,-1.7329,1.8204,0.4055,-0.0789,0.4131,0.0553,-0.0077,1.6835
1.0101,-0.0602,1.6408,-0.2341,-0.1602,0.2836,-0.0233,0.0074,-1.7298,1.8199,0.4061,-0.0789,0.4136,0.0569,-0.0061,1.6792
